,A22,read_count,chromosome,start,end,length,rpkm,tpm
0,C1_00010W_A,12,C1,4059,4397,338,4.213972508421208,5.282918327617112
2,C1_00020C_A,6,C1,4409,4720,311,2.289907890428245,2.870781985103832
4,C1_00030C_A,25,C1,8597,8908,311,9.541282876784354,11.9615916045993
6,C1_00040W_A,570,C1,10718,11485,767,88.20772962542698,110.58312092554462
8,C1_00050C_A,20,C1,11648,11995,347,6.841127319146822,8.576495651943244
10,C1_00060W_A,8032,C1,12163,13701,1538,619.8612911477043,777.0996533652024
12,C1_00070W_A,3306,C1,13778,14917,1139,344.51352591016195,431.90524297574865
14,C1_00080C_A,782,C1,14910,15761,851,109.06975690715434,136.73715635354918
16,C1_00090W_A,95,C1,15595,16116,521,21.64277946983445,27.13283869158436
18,C1_00100C_A,477,C1,16600,17328,728,77.77036763309498,97.49814449271935
20,C1_00110W_A,4285,C1,17338,18960,1622,313.56467340329266,393.1056874967987
22,C1_00120C_A,739,C1,18948,19628,680,128.99197072285125,161.7129786407913
24,C1_00130C_A,1066,C1,19615,21714,2099,60.27981604590394,75.57081692818271
26,C1_00140W_A,1891,C1,22270,25326,3056,73.4455235748659,92.07623016042476
28,C1_00150C_A,1316,C1,25381,27249,1868,83.61923106378572,104.83067163948571
30,C1_00160C_A,4732,C1,28286,29488,1202,467.26948513096335,585.800339703553
32,C1_00170W_A,256,C1,29804,31543,1739,17.473002358092305,21.905326674911507
34,C1_00180W_A,13802,C1,31842,32444,602,2721.2765799689337,3411.574681634374
36,C1_00190C_A,550,C1,32680,33318,638,102.32203360965289,128.27775824242696
38,C1_00200C_A,140,C1,34099,34446,347,47.88789123402775,60.03546956360271
40,C1_00210C_A,2385,C1,34525,35679,1154,245.30687884269125,307.5331420740888
42,C1_00220W_A,19074,C1,37851,39485,1634,1385.5330135384347,1736.9970345352635
44,C1_00230C_A,909,C1,40484,41770,1286,83.89770227011073,105.17978180493367
46,C1_00240C_A,2,C1,42100,42172,72,3.297043305199926,4.13339443225598
48,C1_00270W_A,25,C1,42605,43504,899,3.300710761601706,4.137992201368612
50,C1_00280C_A,1,C1,43549,43679,130,0.913027376824595,1.1446323043170408
52,C1_00290W_A,143,C1,43803,45764,1961,8.655369166328008,10.850950809410396
54,C1_00310W_A,243,C1,46803,48359,1556,18.53633344080267,23.238389777233493
56,C1_00320W_A,337,C1,48513,49298,785,50.955069272210835,63.88068949315866
58,C1_00330C_A,375,C1,49295,49843,548,81.22278215364783,101.82632269243747
60,C1_00340W_A,599,C1,49997,50743,746,95.30488181411691,119.480586510949
62,C1_00350C_A,1185,C1,50806,51681,875,160.74499131409013,201.52069312004582
64,C1_00360W_A,509,C1,53099,54442,1343,44.98512399440317,56.39636602878525
66,C1_00370W_A,44,C1,54558,54842,284,18.389142941678465,23.053861903850255
68,C1_00380C_A,666,C1,54837,57074,2237,35.33746548300109,44.30141480007572
70,C1_00390W_A,8172,C1,59349,62552,3203,302.8297733510387,379.6476974131288
72,C1_00400W_A,3060,C1,63202,64350,1148,316.37830182998596,396.6330406422638
74,C1_00410C_A,1095,C1,64696,66324,1628,79.83381270944786,100.08501751813927
76,C1_00420W_A,919,C1,67843,68814,971,112.33715829993241,140.83338969799883
78,C1_00430W_A,814,C1,69226,70902,1676,57.647110391156716,72.2702806938122
80,C1_00440W_A,2408,C1,71068,72581,1513,188.90554530150115,236.82465072267442
82,C1_00450C_A,751,C1,72741,73283,542,164.46284649333066,206.1816455174773
84,C1_00460W_A,1261,C1,73580,73900,320,467.7268058839246,586.373667645914
86,C1_00470C_A,477,C1,74056,75381,1325,42.72968123539105,53.568791842037506
88,C1_00480C_A,1862,C1,75573,77828,2255,98.00771921692305,122.86904460442699
90,C1_00490C_A,1223,C1,78008,78367,359,404.35159510123225,506.92225644391726
92,C1_00500C_A,3101,C1,78641,79669,1028,358.0435081899796,448.86733544681766
94,C1_00510W_A,611,C1,80124,81053,929,78.06433212182733,97.86667807524493
96,C1_00520W_A,392,C1,81233,81901,668,69.65250766913378,87.32105123951557
98,C1_00530C_A,957,C1,82117,84558,2441,46.534099119519816,58.33826504714585
100,C1_00540C_A,1260,C1,85080,87248,2168,68.98241896857411,86.4809831398207
102,C1_00550W_A,527,C1,87900,89810,1910,32.74947936453037,41.05694197317302
104,C1_00560W_A,699,C1,90099,91271,1172,70.79078304782504,88.74806953352346
106,C1_00570C_A,921,C1,91310,93694,2384,45.854348920809045,57.48608464592252
108,C1_00580W_A,179,C1,93970,94899,929,22.86991071981521,28.671252660341803
110,C1_00590W_A,15606,C1,95214,96494,1280,1447.13412621422,1814.2243174627545
112,C1_00600W_A,1151,C1,96816,101423,4607,29.654066940365567,37.17632552527866
114,C1_00610W_A,3243,C1,101751,103523,1772,217.22528882363488,272.3281789938043
116,C1_00620W_A,724,C1,103868,104809,941,91.32214315274271,114.48755842967043
118,C1_00630W_A,521,C1,105179,106924,1745,35.43801961738099,44.42747620137145
120,C1_00640C_A,5353,C1,107125,111027,3902,162.8310151866908,204.13587243751547
122,C1_00650C_A,1118,C1,111571,112251,680,195.14617492306857,244.64832221976275
124,C1_00660C_A,664,C1,112788,113801,1013,77.80110875370094,97.53668362156658
126,C1_00670C_A,480,C1,114127,115878,1751,32.53735483372629,40.79100844624976
128,C1_00680W_A,286,C1,117319,119442,2123,15.989805873922961,20.04589216886838
130,C1_00690W_A,140,C1,119767,122808,3041,5.464353258207047,6.850479427349603
132,C1_00700W_A,124,C1,123066,123431,365,40.32329127236294,50.551980124906024
134,C1_00710C_A,2088,C1,123869,125597,1728,143.4213837761968,179.80265780313513
136,C1_00720W_A,1,C1,126521,126612,91,1.3043248240351357,1.635189006167201
138,C1_00730C_A,1131,C1,126791,128620,1829,73.39661848798262,92.0149194662299
140,C1_00740C_A,840,C1,129260,130681,1421,70.16368018947628,87.96189136623563
142,C1_00750C_A,1768,C1,131413,133938,2525,83.10899496608512,104.19100547494202
144,C1_00760W_A,536,C1,134254,134913,659,96.53982946454899,121.02879964311289
146,C1_00770C_A,137,C1,135654,136436,782,20.794140129470634,26.068927544611885
148,C1_00780C_A,167,C1,138574,140931,2357,8.409768498456495,10.543049353722084
150,C1_00790W_A,190,C1,150607,151707,1100,20.50161473415227,25.702198106028092
152,C1_00800C_A,1749,C1,154633,155286,653,317.90970087076295,398.55290510346947
154,C1_00810W_A,144,C1,155443,156324,881,19.400536315728058,24.321812414091944
156,C1_00820W_A,44,C1,156643,157689,1046,4.992845693534115,6.2593659471256915
158,C1_00830W_A,199,C1,158725,160524,1799,13.129526536104654,16.460054314998246
